british,[ 1  3  3 -6 -7 -7  0  1 -7 -7  3 -1 -3 -5 -2 -6 -6 -7 -7  2 -7],99.237,99.386
pop,[-1  1 -1 -3 -3 -3  0 -1 -3 -3  2 -3  0  1 -3 -3 -1 -1 -3  1 -3],99.526,99.877
music,[ 1  1  1 -5 -5 -3  0  1 -5 -5  1 -3 -1 -1  1 -5 -3 -3 -5  2 -5],98.439,102.297
and,[ 1  1 -1 -3 -3 -1  0  3 -3 -3  2  1 -2 -3 -3 -1 -3 -3 -3  1 -3],101.519,101.908
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],102.427,102.597
total,[ 1  1  1 -5 -3 -5  0  1 -5 -5  3  1 -3 -5 -5 -3 -3 -3 -5  2 -5],103.017,103.157
misreading,[ 5  1  3 -8 -9 -5  0  7 -9 -9  5 -1 -4 -7 -4 -6 -8 -9 -9  4 -9],103.337,103.547
of,[ 0  0  2 -2 -2 -2  1  0 -2 -2  1 -2  0  0 -2 -2  0  0 -2  1 -2],103.657,104.827
the,[ 1  1  1 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],104.967,104.56
movie,[ 3 -1  3 -5 -5 -3  1  5 -5 -5  2 -5  0 -1 -3 -5 -3 -3 -5  3 -5],107.477,107.837
the,[ 1  1  1 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],108.097,108.477
graduate.,[ 3 -1  3 -6 -7 -7  0  5 -7 -7  3 -1 -3 -5 -4 -2 -4 -5 -7  4 -7],108.637,107.439
elaine!,[ 6 -2  4 -6 -4 -4  0  6 -6 -6  2 -2 -2 -6 -4 -4 -6 -6 -6  4 -6],110.687,110.68
elaine!,[ 6 -2  4 -6 -4 -4  0  6 -6 -6  2 -2 -2 -6 -4 -4 -6 -6 -6  4 -6],111.187,111.627
the,[ 1  1  1 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],112.747,113.187
girl,[ 3  1  3 -2 -1 -3  0  3 -3 -3  2  1 -2 -3  0 -2 -2 -3 -3  1 -3],113.347,113.517
summer,[ 4  2  2 -5 -6 -2  0  4 -6 -6  4 -2 -2  0 -3 -5 -3 -4 -6  2 -6],113.687,110.68
finn,[ 2  2  0 -4 -4  0  1  2 -4 -4  3  0 -2 -2 -2 -4 -4 -4 -4  1 -4],116.377,116.717
of,[ 0  0  2 -2 -2 -2  1  0 -2 -2  1 -2  0  0 -2 -2  0  0 -2  1 -2],116.957,117.037
shinnecock,[  2   4   0 -10 -10  -6   0   0 -10 -10  -1  -4  -3 -10  -2 -10  -6  -8
 -10   3 -10],117.617,117.767
michigan,[ 5  1  1 -7 -7 -3  0  3 -7 -7  0 -5 -1 -5 -1 -5 -7 -7 -7  3 -7],118.107,116.04
did,[-1  1 -1 -3 -3 -3  0  3 -3 -3  2  1 -2 -3 -1 -3 -3 -3 -3  1 -3],120.28,120.159
not,[ 1  1 -1 -3 -3 -1  0  1 -3 -3  2  1 -2 -3 -3 -3 -1 -1 -3  1 -3],120.42,120.62
share,[ 3  1  5 -4 -5 -5  0  1 -5 -5  1 -1 -2 -5 -4 -2 -4 -5 -5  2 -5],120.84,120.99
this,[ 0  2  2 -4 -4 -4  0 -2 -4 -4  1  0 -2 -4 -2 -4 -4 -4 -4  1 -4],122.41,122.239
belief.,[ 2  0  4 -6 -4 -6  1  4 -6 -6  3 -4 -1 -2 -4 -6 -6 -6 -6  3 -6],122.54,122.88
since,[ 1  1  1 -5 -5 -3  0  1 -5 -5  1 -1 -2 -5 -1 -5 -5 -5 -5  2 -5],123.01,122.239
the,[ 1  1  1 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],130.158,130.448
disintegration,[  5   1   3 -12 -13  -9   0   7 -13 -13   7   1  -7 -13  -6 -10 -10 -11
 -13   6 -13],130.888,130.978
of,[ 0  0  2 -2 -2 -2  1  0 -2 -2  1 -2  0  0 -2 -2  0  0 -2  1 -2],132.158,129.759
her,[ 3  1  3 -2 -3 -3  0  1 -3 -3  0 -1 -1 -3 -2 -2 -2 -3 -3  1 -3],135.438,134.879
marriage,[ 7 -1  5 -5 -7 -5  0  7 -7 -7  3 -3 -2 -5 -3 -1 -5 -7 -7  4 -7],135.708,136.038
parents',[ 1  3  1 -6 -7 -5  0  1 -7 -7  5  1 -4 -5 -6 -4 -6 -7 -7  2 -7],136.348,134.879
only,[ 4  0  2 -4 -2 -2  0  4 -4 -4  2  0 -2 -2 -2 -4 -2  0 -4  2 -4],140.159,140.63342857142857
she'd,[ 0  2  2 -4 -4 -4  0  0 -4 -4  1  0 -2 -4 -4 -4 -4 -4 -4  1 -4],141.10785714285714,141.58228571428572
loved,[ 1  1  3 -5 -3 -5  1  5 -5 -5  3 -1 -2 -3 -5 -5 -3 -3 -5  2 -5],142.0567142857143,142.53114285714287
two,[ 1 -1  1 -3 -3 -3  0  1 -3 -3  0 -1 -1 -1 -1 -3  1  1 -3  1 -3],143.00557142857144,144.759
things.,[ 1  3  1 -5 -5 -3  0 -1 -5 -5  2  1 -3 -5 -3 -5 -5 -5 -5  1 -5],145.23919999999998,145.71939999999998
the,[ 1  1  1 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],146.19959999999998,146.67979999999997
first,[-1  3  3 -4 -5 -5  1 -1 -5 -5  4  1 -3 -3 -2 -4 -4 -5 -5  1 -5],147.28,147.81
was,[ 1 -1  3 -3 -3 -3  0  1 -3 -3  0 -1 -1 -1 -1 -1 -1 -1 -3  1 -3],148.34,148.87
her,[ 3  1  3 -2 -3 -3  0  1 -3 -3  0 -1 -1 -3 -2 -2 -2 -3 -3  1 -3],149.52,150.44
long,[ 3  1  1 -3 -1 -1  0  3 -3 -3  2  1 -2 -3 -3 -3 -1 -1 -3  1 -3],155.918,156.098
dark,[ 0  2  0 -3 -4 -4  0  2 -4 -4  1  0 -2 -4 -1 -1 -1 -4 -4  1 -4],156.608,156.678
hair.,[ 4  0  4 -3 -4 -4  0  2 -4 -4  0 -2 -1 -4 -1 -1 -3 -4 -4  2 -4],155.52,157.2
was,[ 1 -1  3 -3 -3 -3  0  1 -3 -3  0 -1 -1 -1 -1 -1 -1 -1 -3  1 -3],161.018,161.908
the,[ 1  1  1 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],160.719,160.719
second,[ 0  2  0 -6 -6 -4  0  2 -6 -6  2  0 -3 -6 -4 -6 -4 -4 -6  2 -6],161.62925,162.53950000000003
how,[ 3 -1  3 -3 -3 -3  0  1 -3 -3 -2 -3  0 -1 -1 -3  1  1 -3  1 -3],163.44975000000005,166.0
easily,[ 4 -2  6 -6 -4 -6  0  4 -6 -6  2 -2 -2 -4 -2 -4 -6 -4 -6  4 -6],166.3657142857143,166.73142857142858
she,[ 1  1  3 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],167.09714285714287,167.46285714285716
could,[ 1  1  1 -5 -3 -5  0  3 -5 -5  1 -1 -2 -3 -1 -5 -1 -1 -5  2 -5],167.82857142857145,168.19428571428574
cut,[-1  1 -1 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -1  1 -3 -1 -1 -3  1 -3],169.698,168.68
it,[ 0  0  0 -2 -2 -2  0  0 -2 -2  1  0 -1 -2  0 -2 -2 -2 -2  1 -2],168.8836,169.0872
off,[-1  1  3 -3 -3 -3  2 -1 -3 -3  2 -3  0  1 -3 -3 -1 -1 -3  1 -3],169.2908,169.49439999999998
and,[ 1  1 -1 -3 -3 -1  0  3 -3 -3  2  1 -2 -3 -3 -1 -3 -3 -3  1 -3],168.68,171.24
feel,[ 2  0  4 -4 -2 -4  1  2 -4 -4  2 -2 -1 -2 -4 -4 -4 -4 -4  2 -4],171.88,172.51999999999998
nothing.,[ 4  2  0 -6 -6 -2  0  2 -6 -6  2  0 -3 -6 -4 -6 -4 -4 -6  2 -6],173.15999999999997,173.79999999999995
tom,[ 1  1 -1 -3 -3 -1  0  1 -3 -3  2 -1 -1 -1 -3 -3 -1 -1 -3  1 -3],174.43999999999994,178.8
meets,[ 1  1  1 -5 -5 -3  0  1 -5 -5  3 -1 -2 -3 -5 -5 -5 -5 -5  2 -5],179.33333333333334,179.86666666666667
summer,[ 4  2  2 -5 -6 -2  0  4 -6 -6  4 -2 -2  0 -3 -5 -3 -4 -6  2 -6],180.4,180.93333333333334
on,[ 2  0  0 -2 -2  0  0  2 -2 -2  1  0 -1 -2 -2 -2  0  0 -2  1 -2],181.46666666666667,182.12
january,[ 7 -3  5 -6 -7 -5  0  7 -7 -7  1 -3 -2 -3  0 -2 -4 -3 -7  4 -7],182.96,183.8
eighth.,[ 3  1  3 -5 -5 -5  0 -1 -5 -5 -1 -3 -1 -5 -3 -5 -5 -5 -5  2 -5],184.64000000000001,185.48000000000002
knows,[ 1  1  1 -5 -5 -3  0  1 -5 -5  0 -1 -2 -3 -1 -5  1 -1 -5  1 -5],186.32000000000002,189.719
he,[ 2  0  2 -2 -2 -2  0  0 -2 -2 -1 -2  0 -2 -2 -2 -2 -2 -2  1 -2],190.26583333333332,190.81266666666664
almost,[ 2  2  2 -6 -4 -4  0  2 -6 -6  4  0 -3 -4 -6 -4 -4 -4 -6  2 -6],191.35949999999997,191.9063333333333
immediately,[  7  -1   3 -11  -9  -7   0   9 -11 -11   5  -5  -3  -5  -5  -9 -11  -9
 -11   6 -11],192.45316666666662,193.12
she's,[ 0  2  4 -4 -4 -4  0 -2 -4 -4  1  0 -2 -4 -4 -4 -4 -4 -4  1 -4],193.89333333333335,194.66666666666669
